province;red;green;blue;x;x
115;245;122;119;unna;x
116;220;111;52;western;x
117;255;161;161;kerrulen;x
118;129;54;128;great_sea;x
119;36;92;187;cymrian_valley;x
120;32;182;182;southern_western_mountain;x
121;32;185;185;negro_gap_western_mountain;x
122;32;195;195;central_western_mountain;x
123;32;200;200;northern_western_mountain;x
124;32;220;220;cymrian_mountains;x
125;32;250;250;eastern_cymrian_mountains;x
126;32;230;230;southern_cymrian_mountains;x
127;64;230;230;ponti_mountains;x
128;124;230;230;colone_mountain;x
129;200;230;230;white_mountain;x
130;230;230;230;high_mountain;x
131;179;150;71;polita;x
132;229;150;71;rimedia;x
133;229;221;71;pepulitana;x
134;229;221;110;cetania;x
135;229;221;165;densinae;x
136;75;73;58;monte_negro;x
137;105;73;58;nocia;x
138;105;106;58;hanuria;x
139;105;166;58;temnium;x
140;105;166;98;hamae;x
141;90;27;111;mevia;x
142;90;27;222;donanea;x
143;90;57;222;ponea;x
144;103;57;222;ienia;x
145;167;137;158;eria;x
146;167;137;208;itamia;x
147;167;167;208;citus;x
148;167;64;64;mons_tesserina;x
149;167;64;81;nolgia;x
150;167;116;81;histria;x
151;213;116;81;nestrodia;x
152;27;88;54;rimagonia;x
153;27;28;54;maenaica;x
154;67;28;54;ninaea;x
155;67;68;54;peanintus;x
156;67;68;84;selgia_proconsularis;x
157;12;147;191;doladia;x
158;42;147;191;nalirus;x
159;42;199;191;bibia;x
160;82;199;191;bilagene;x
161;82;221;191;punaica;x
162;243;224;118;loca;x
163;203;224;118;situstria;x
164;203;188;118;modia;x
165;203;128;118;hilitana;x
166;153;128;118;rilebia;x
167;239;122;122;flevia;x
168;209;122;122;liria;x
169;209;165;122;hibonia;x
170;209;165;98;mares;x
171;109;165;98;cornanaica;x
172;98;110;165;biceana;x
173;128;110;165;dimae;x
174;128;10;165;pelelia;x
175;128;10;65;tetetus;x
176;78;80;79;fleves_mons;x
177;14;205;180;tritonis;x
178;14;205;120;datus;x
179;55;205;120;media;x
180;94;205;120;catellia;x
181;94;155;120;cicatrea;x
182;189;232;217;porus;x
183;129;232;217;lallia;x
184;129;202;217;notus;x
185;129;202;177;lilitraea;x
186;172;170;13;postravia;x
187;172;170;103;sitia;x
188;172;120;103;inucia;x
189;122;120;103;mecum;x
190;122;172;103;cumex;x
191;166;182;227;posta;x
192;166;180;207;renirus;x
193;166;125;207;telaria;x
194;166;125;197;netamia;x
195;155;170;131;flavia;x
196;155;111;131;netamia;x
197;155;111;182;etus;x
198;105;111;182;sebiastina;x
199;5;111;182;lucania;x
200;255;224;121;sicine;x
201;211;224;121;temnica;x
202;211;224;45;nica;x
203;167;224;45;dinotus_ripsensis;x
204;6;64;64;mare_tritonis;x
205;60;64;64;mare_lacrisa;x
206;3;59;219;fuggen_bucht;x
207;13;59;219;westernnord_see;x
208;23;59;219;sea_of_tank;x
209;33;59;219;nordkap_sea;x
210;43;59;219;bakava_sea;x
211;53;59;219;easternord_sea;x
212;63;59;219;western_sea;x
213;73;59;219;outer_blight_of_soling;x
214;83;59;219;north_sea;x
215;83;69;219;closed_sea;x
216;83;68;219;outer_sea_bakava;x
217;80;58;209;southern_bakava_sea;x
218;10;59;219;inner_blight_of_soling;x
219;11;59;219;cape_of_greef;x
220;12;59;219;outer_west_sea;x
221;12;79;219;blessed_sea;x
222;13;79;219;greef_sea;x
223;11;59;189;western_blessed_sea;x
224;124;191;143;vhine_mountains;x
225;24;191;143;vhinestadt;x
226;24;91;43;western_vhineland;x
227;24;91;143;central_vhineland;x
228;224;91;43;eastern_vhineland;x
229;224;191;143;jotunhem;x
230;144;191;63;niefelhem;x
231;159;144;22;skogen_land;x
232;159;44;22;small_beerenisland;x
233;59;44;22;big_beerenisland;x
234;11;44;22;beerenland;x
235;165;45;29;greef;x
236;165;145;29;simmeren;x
237;165;49;128;kakinen;x
238;165;149;129;greefenx
239;66;49;30;seven_cape;x
240;166;49;31;longstrong;x
241;166;49;131;bromberyland;x
242;166;149;135;strawberry_coast;x
243;66;14;60;rowan_hills;x
244;25;125;225;elderberry;x
245;125;125;225;honeysuckie;x
246;125;225;225;barberry;x
247;225;225;225;bluebrry;x
248;225;225;125;gooseberry;x
249;196;114;114;vhineland_beyond_sea;x
250;196;14;114;vhineland_beyond_sea_cape_comoron;x
251;196;14;14;nieflen;x
252;96;14;14;skagre;x
253;66;105;177;akosha;x
254;66;105;77;fast_water;x
255;166;105;77;firland;x
256;166;105;177;ebertland;x
257;65;211;87;northway_fjard;x
258;65;11;87;warm_fjard;x
259;65;111;87;heartstone;x
260;65;111;187;frieren;x
261;163;72;171;nrvik;x
262;63;72;171;slovos;x
263;63;172;171;woods_of_whisper;x
264;163;172;171;trandelag;x
265;189;149;127;mitrel;x
266;189;149;27;outer_skagon;x
267;89;149;27;hafn;x
268;89;49;27;heathern;x
269;176;66;114;white_march;x
270;76;66;114;hellokiten;x
271;76;66;14;navnkiten;x
272;149;239;213;whitch_wood;x
273;149;209;213;under_mountain;x
274;109;209;213;ponti_veda;x
275;109;109;213;dead_man_pass;x
276;109;109;113;weden;x
277;175;44;177;colone;x
278;175;144;177;tir_nan_aigenal;x
279;75;144;177;high_pass;x
280;75;44;177;low_pass;x
281;175;44;77;gleanne_daoine;x
282;175;232;194;ard_nan_tonn;x
283;75;232;194;caobdh;x
284;75;32;194;caobdh;x
285;241;251;130;morvach;x
286;241;51;130;north_pass;x
287;241;151;30;corcaigh;x
288;141;151;30;tralee;x
289;224;162;116;cymria;x
290;224;102;116;atha;x
291;224;102;16;bytt;x
292;124;162;116;cullans_pass;x
293;119;116;162;wynedd;x
294;119;186;162;tullamore;x
295;119;186;62;carlow;x
296;119;116;62;athlone;x
297;106;217;147;birr;x
298;106;117;147;listowel;x
299;106;117;47;listowel;x
300;114;147;75;thoir_ap_sliab;x
301;14;147;75;carrickmacross;x
302;70;147;75;eastern_pass_cymria;x
303;88;211;229;ponti;x
304;188;211;229;urabas;x
305;188;211;129;temepsto;x
306;188;111;129;tarapsol;x
307;166;141;141;great_steppe;x
308;232;68;68;tundrian_hills;x
309;132;68;68;tundrian;x
310;32;68;68;vascauna;x
311;32;68;18;vascaunian_hills;x
312;71;225;169;saramatia;x
313;10;148;98;vanascia;x
314;176;249;222;dolgen;x
315;34;97;74;nauen;x
316;15;174;116;hobogobo;x
317;181;32;32;awarcha;x
318;131;32;32;nossiji;x
319;131;60;32;kavra;x
320;131;60;60;saganta;x
321;161;60;60;choresa;x
322;141;181;32;tainas;x
323;101;181;32;olbia;x
324;101;101;32;palakoi;x
325;101;101;70;akrakan;x
326;141;101;32;turaka;x
327;202;109;141;tainaic;X
328;202;159;141;gorgippa;X
329;152;159;141;phanagoria;X
330;152;109;141;tmutaran;X
331;152;109;101;tanaia;X
332;180;65;205;geloni;x
333;130;65;205;qerch;x
334;130;65;165;napeai;x
335;180;65;165;gargaria;x
336;180;100;165;agathrysi;x
337;27;114;76;iryea;x
338;57;114;76;oxola;x
339;27;114;22;aorsi;x
340;57;114;22;budini;x
341;27;74;76;chorasmi;x
342;13;194;201;alavia;x
343;53;194;201;icho_border;x
344;53;194;151;ayaxo;x
345;53;144;151;temata;x
346;12;144;201;gaeata;x
347;116;53;194;oyuun;x
348;76;53;194;orkhon;x
349;76;53;154;dalai;x
350;76;103;154;khenti;x
351;76;153;154;tenger;x
352;157;0;122;shirret;x
353;157;30;122;ulaan;x
354;157;0;100;khunnu;x
355;107;0;100;khar_us;x
356;107;75;100;altan_murin;x
357;215;219;105;arvan;x
358;215;219;55;ulaan_taiga;x
359;215;169;55;khairkahn;x
360;215;149;55;khadag_koin;x
361;215;109;55;khara_koto;x
362;124;118;118;katanara;x
363;124;118;78;nawjit;x
364;124;78;78;turkone;x
365;164;78;78;bojin;x
366;100;78;78;lenka;x
367;81;138;215;horsata;x
368;81;100;215;cavara;x
369;101;101;215;tarada;x
370;101;101;155;nadara;x
371;101;102;101;tien-to-tara;x
372;68;234;68;tscherdas;x
373;68;201;68;taschkaia;x
374;108;234;68;white_orchard;x
375;108;234;107;poleia_attaki;x
376;108;201;107;veneh;x
377;189;108;49;geneve;x
378;129;108;49;katrova;x
379;129;108;89;simmero;x
380;88;108;89;jaleia;x
381;88;55;89;maccillo;x
382;109;37;96;aimag;x
383;109;67;96;uws_nuur;x
384;109;107;96;saichan;x
385;139;107;96;dsachan;x
386;139;107;126;dacha;x
387;66;159;132;antyeen;x
388;66;119;132;bajan;x
389;66;119;102;tuwin-nai;x
390;106;119;102;chai-nai;x
391;106;159;102;yolyon;x
392;224;211;66;altan;x
393;194;211;66;uvs;x
394;194;181;66;khova;x
395;194;181;106;khongora;x
396;194;141;106;dundgo;x
397;143;106;194;sonam;x
398;103;106;194;baas;x
399;103;106;154;tiido;x
400;3;106;154;khangai;x
401;3;106;104;onmogo;x
402;154;57;83;sesse;x
403;154;17;43;sums-dorno;x
404;154;17;3;zakva;x
405;104;17;3;hon-ton;x
406;254;17;3;sumber;x
407;68;76;181;atacoast;x
408;18;76;181;bay_of_viscari;x
409;18;16;181;central_dividing_sea;x
410;18;16;151;southern_sea;x
411;119;116;239;lovian_crossing;x
412;119;116;209;northern_windward_sea;x
413;89;116;209;coast_of_tandela;x
414;29;116;209;lovian_bay;x
415;29;166;209;windward_sea;x
416;29;166;109;cosat_of_talaria;x
417;29;166;159;eastuary_of_the_ziss;x
418;29;16;159;cape_jee;x
419;29;16;109;stormwind_sea;x
420;29;17;139;outer_sea;x
421;29;16;189;eastern_wind_ward_sea;x
422;29;16;139;lovian_coast;x
423;82;140;134;numerian_bay;x
424;42;140;134;cliffside_sea;x
425;42;110;134;passage_to_tries;x
426;42;155;134;northern_numerian_sea;x
427;42;125;134;tries_sea;x
428;42;125;114;swamp_coast;x
429;42;125;164;mud_coast;x
430;42;155;164;zimmern_estuary;x
431;52;165;164;brown_sea;x
432;52;177;164;cape_comodon;x
433;52;111;164;mare_flevia;x
434;52;222;164;mare_flavia;x
435;52;200;164;blessed_sea_south;x
436;52;144;164;ys_Sea;x
437;52;144;204;mare_solaria;x
438;52;184;204;mare_paci;x
439;52;184;174;kings_sea;x
440;102;184;174;western_kings_sea;x
441;102;124;174;mare_luna;x
442;102;155;174;mare_lanatica;x
443;152;155;174;mare_vixis;x
444;152;111;174;cliffside_sea;x
445;152;144;174;talis_grave;x
446;243;213;49;viscari;x
447;196;37;190;talas;x
448;126;37;190;jerica;x
449;16;37;190;bescil;x
450;16;37;120;yangara;x
451;33;45;184;bestos;x
452;33;99;184;trasei;x
453;33;148;184;nopola;x
454;33;200;184;liefnen;x
455;33;233;184;hasxia;x
456;33;233;124;sqabin;x
457;66;233;124;lifenei;x
458;66;3;124;doscha;x
459;66;49;124;sesschea;x
460;66;99;124;catrivas_salvation;x
461;66;122;124;alla_cavina;x
462;82;144;124;silk_coast;x
463;82;187;124;visacara;x
464;82;187;4;halfway_coast;x
465;82;187;34;minaji;x
466;25;187;64;acatari;x
467;35;187;64;east_gate;x
468;74;187;64;gregori;x
469;136;187;64;enclosing_coast;x
470;136;141;64;qatrava;x
471;136;1;64;wandasdoom;x
472;136;26;64;hajida;x
473;136;46;64;khalida;x
474;136;46;111;kayjilon;x
475;136;46;146;cavos;x
476;136;78;146;rafia;x
477;136;102;146;feen;x
478;12;102;146;neden;x
479;61;102;146;mariasol;x
480;61;101;146;morales;x
481;61;63;146;carvia;x
482;61;103;205;cesse;x
483;61;9;205;sebat;x
484;61;49;205;facae;x
485;103;49;205;lenacari;x
486;103;49;124;lena;x
487;103;49;155;trisia;x
488;77;72;47;eastern_wastes;x
489;167;82;82;yangara_swamps;x
490;67;82;82;outer_yang;x
491;67;182;82;cexcia;x
492;32;66;55;the_whole_thingy;x
493;78;193;156;canbar;x
494;178;193;156;little_yanga;x
495;178;193;56;yeles;x
496;178;93;56;poison_mountains;x
497;178;11;56;poison_river;x
498;146;22;71;sisien;x
499;146;122;71;makara;x
500;16;122;71;tonkec;x
501;16;22;71;vena;x
502;16;22;171;grave_lands;x
503;34;241;14;dragons_sight;x
504;34;41;14;hot_heaths;x
505;134;41;14;burned_waste;x
506;134;66;28;fec;x
507;134;166;28;stilgo;x
508;12;41;98;upper_meneken_valley;x
509;12;41;198;lower_meneken_valley;x
510;112;41;198;kan_oracle;x
511;112;141;198;chan_chan_death;x
512;112;241;198;old_wood;x
513;48;75;31;zyra;x
514;148;75;31;north_zyra;x
515;148;175;31;tyravel;x
516;148;175;131;chin_tang;x
517;48;175;131;south_zyra;x
518;160;114;255;yanza;x
519;60;114;255;great_yanga;x
520;60;14;255;govria;x
521;60;14;155;yadai;x
522;60;14;55;zhinyin;x
523;166;55;133;yangian_border;x
524;66;55;133;hashon;x
525;66;55;33;zhuvil;x
526;66;155;33;yellow_flat;x
527;166;155;33;jovlian;x
528;101;108;123;first_yangran_estuary;x
529;1;108;123;amatan_coast;x
530;1;108;23;phoneica;x
531;1;8;23;saaba;x
532;1;8;223;saaban_flat;x
533;84;133;102;yolven;x
534;184;133;102;auras;x
535;184;33;2;tervin;x
536;84;33;2;mussal;x
537;113;69;213;covto;x
538;13;69;213;yewei;x
539;13;69;113;agare;x
540;13;69;13;flaono;x
541;32;77;65;lena_poison_glades;x
542;132;77;65;lana_desert;x
543;184;133;2;oreega;x
544;33;87;145;some_peaks;x
545;133;87;145;some_peaks;x
546;133;187;145;some_peaks;x
547;71;124;56;kranian_gate;x
548;171;124;56;old_home;x
549;171;224;56;krania;x
550;171;224;156;aerol;x
551;44;44;156;kravola;x
552;144;44;156;deep_swamp;x
553;144;144;114;high_valley;x
554;144;144;214;tasshab_end;x
555;194;201;132;far_east_tower;x
556;94;201;132;wild_hills;x
557;94;101;132;worlds_end;x
558;194;101;132;worlds_end;x
559;194;101;232;worlds_end;x
560;69;138;39;kastra_zima;x
561;169;138;39;colonia_zima;x
562;169;138;139;zima_ending;x
563;169;238;139;babberben;x
564;69;238;139;rostenbeg;x
565;75;123;107;aquariana;x
566;175;123;107;palatina_beg;x
567;175;223;107;altotorro;x
568;175;223;207;visataris_gate;x
569;75;223;207;weeden_def;x
570;160;60;154;ions_deep;x
571;60;60;154;castle_on_the_sea;x
572;60;60;254;rosen_hem;x
573;60;160;254;weesen_spring;x
574;160;160;254;amatan_au;x
575;255;160;254;amatan_au;x
576;35;124;92;lasa;x
577;135;124;92;darfer_country;x
578;135;124;192;birk_spring;x
579;135;24;192;long_border;x
580;35;24;192;arhon_beg;x
581;140;255;221;karental;x
582;240;255;221;further_tal;x
583;240;255;121;hohen_country;x
584;140;255;121;castle_bigen;x
585;140;55;121;erlen_beg;x
586;184;163;111;aahen;x
587;84;163;111;stener_country;x
588;84;63;111;bahla;x
589;84;63;11;riven_country;x
590;84;163;11;siren_beg;x
591;66;82;51;kastillen;x
592;66;82;151;verden_beg;x
593;66;182;151;taberb_country;x
594;166;182;151;raberb_country;x
595;166;82;151;bushen;x
596;73;46;26;mirmar;x
597;73;46;126;azur_coast;x
598;73;146;126;aurora;x
599;173;146;126;aurora_beg;x
600;25;106;96;las_beg;x
601;125;106;96;gavro;x
602;125;206;96;kaskone_beg;x
603;125;206;196;krawllen_country;x
604;9;33;58;kalle;x
605;109;33;58;pikard_beg;x
606;109;133;58;lorenz_country;x
607;109;233;58;everfree;x
608;162;176;40;ascaria;x
609;54;123;59;illaqta;x
610;54;123;159;fledendamm;x
611;154;123;159;beevendamm;x
612;154;223;159;naqta;x
613;254;223;159;kusko;x
614;64;147;60;low_land;x
615;64;147;160;outer_marsh;x
616;164;147;160;middel_damm;x
617;164;247;160;tachta;x
618;142;37;119;duvlin;x
619;242;37;119;wehredamm;x
620;242;137;119;souten;x
621;242;137;219;alto_adige;x
622;242;237;219;louqata;x
623;31;31;121;asqate;x
624;131;21;121;amaqte;x
625;131;31;121;amaqte;x
626;118;23;66;kalinien;x
627;193;124;225;astara;x
628;93;124;225;caria;x
629;93;24;225;asta_nara;x
630;93;24;125;navaria;x
631;93;24;25;rountara;x
632;40;59;45;gusta;x
633;140;59;45;beruna;x
634;140;159;45;bercha;x
635;140;159;145;corvuna;x
636;140;59;145;sonoro;x
637;72;109;112;kalara;x
638;72;209;112;shalino;x
639;172;209;112;anto_gasas;x
640;70;44;64;veinar;x
641;70;44;164;tito_tarano;x
642;170;44;164;larissa;x
643;224;158;158;qualien;x
644;46;112;167;qalia;x
645;146;112;167;dalie;x
646;146;212;167;bittel;x
647;246;212;167;eissel;x
648;246;212;67;dredenfel;x
649;192;136;123;quasate;x
650;192;136;223;uala;x
651;192;236;223;resse;x
652;92;136;223;qualis;x
653;30;142;96;great_kings_wood;x
654;30;142;196;qualian_forrest;x
655;130;142;196;qavita;x
656;230;142;196;hamsonen;x
657;230;142;96;meisse;x
658;88;21;72;asto;x
659;188;21;72;asto;x
660;92;136;123;almos;x
661;113;191;163;numas;x
662;12;82;56;vann;x
663;112;82;56;kolen;x
664;112;182;56;des;x
665;212;182;56;arino;x
666;212;182;156;kann;x
667;57;27;87;vetro;x
668;157;27;87;merino;x
669;157;127;87;zann;x
670;157;127;187;numeto;x
671;157;27;187;revino;x
672;152;152;117;gessa;x
673;252;152;117;seggs;x
674;252;252;117;karvin;x
675;252;252;217;vhaen;x
676;64;123;77;apas;x
677;164;123;77;tandura;x
678;164;223;77;boudisva;x
679;164;223;177;uvela;x
680;249;255;79;haegen_damm;x
681;149;255;79;spoken;x
682;49;255;79;bako;x	
683;49;155;79;kragenfa;x	
684;149;155;79;retenberg;x	
685;149;155;179;ragniv;x	
686;1;155;179;thule;x	
687;159;126;184;gassalien;x
688;122;171;222;izette;x
689;22;171;222;gravril;x
690;22;171;122;castello_forza;x
691;22;171;22;bekunel;x
692;22;71;22;hedasse;x
693;142;183;225;kumane;x
694;42;183;225;kavini;x
695;42;83;225;geross;x
696;42;83;125;castello_autora;x
697;42;83;25;khagane;x
698;169;68;109;andormeia;x
699;69;68;109;dessale;x
700;69;68;9;bezirte;x
701;32;74;94;putra;x
702;32;74;194;Varanpur;x
703;132;74;194;Devipura;x
704;132;174;194;Arjunpalli;x
705;129;177;116;Shivanagar;x
706;29;177;116;Radhakrishnapur;x
707;29;77;116;Lakshmipur;x
708;129;77;116;Mahadevpur;x
709;136;95;31;Kamalanagar;x
710;136;195;31;Anandapur;x
711;136;195;131;Suryapura;x
712;236;195;131;Ramanagar;x
713;18;26;90;Vishwanagar;x
714;118;26;90;Chandrapur;x
715;118;126;90;Parvatinagar;x
716;118;126;190;Govindnagar;x
717;21;133;32;talarian_mountain;x
718;51;100;36;ys;x
719;151;100;36;ker;x
720;151;100;136;morvach;x
721;151;200;136;cornonian_isles;x
722;109;12;154;tandela;x
723;109;120;154;dark_blood_hills;x
724;109;220;154;randela;x
725;61;80;69;lovo;x
726;61;80;169;travoli;x
727;161;80;169;telarse;x
728;161;180;169;lono;x
729;161;180;250;contars_harbour;x
730;83;29;67;aca_pullana;x
731;183;29;67;contars_host;x
732;183;129;67;venade;x
733;183;129;167;cotrale;x
734;24;138;89;blood_swamp;x
735;124;138;89;bozmos;x
736;224;138;89;valanis;x
737;224;138;189;godo;x
738;224;238;189;goloro;x
739;224;55;189;contars_court;x
740;42;40;27;cien;x
741;142;40;27;covo;x
742;142;140;27;balsam;x
743;142;140;127;bossomo;x
744;56;34;0;orovolo;x
745;156;34;0;contars_crown;x
746;156;134;0;telea;x
747;156;134;100;harbina;x
748;156;134;200;ozomo;x
749;39;31;88;oon;x
750;139;31;88;contars_meal;x
751;139;31;188;tovo;x
752;139;131;188;haro;x
753;90;72;72;sundering_cape;x
754;190;72;72;sundering_cape;x
755;190;172;72;sundering_cape;x
756;190;172;172;sundering_cape;x
757;255;172;172;sundering_cape;x
758;255;72;172;sundering_cape;x
759;255;72;72;sundering_cape;x
760;18;97;26;risen_swamp;x
761;180;97;26;high_damm;x
762;180;97;126;risen_island;x
763;51;19;78;cephryia;x
764;151;19;78;callonian_heights;x
765;151;119;78;tassalon;x
766;151;119;178;issadrillia;x
767;151;219;178;feruniacandia;x
768;87;21;88;terephia;x
769;187;21;88;terrebes;x
770;187;121;88;phalia;x
771;187;121;188;ratacan;x
772;187;221;188;urris;x
773;61;44;31;ionia;x
774;161;44;31;aika_lucra;x
775;161;144;31;nessar_desselo;x
776;161;144;131;gesfinsa;x
777;161;144;231;karen;x
778;59;99;97;ganden_lucra;x
779;159;99;97;cassvin;x
780;159;199;97;vindero;x
781;5;34;63;calebian_mountains;x
782;105;34;63;caleb;x
783;31;99;56;bashiria;x
784;131;99;56;menaria;x
785;131;199;56;nimaria;x
786;131;199;156;milia;x
787;231;199;156;affiria;x
788;44;23;20;milesia;x
789;144;23;20;kiria;x
790;144;123;20;tavonia;x
791;144;123;120;hemenia;x
792;144;123;220;boyia;x
793;144;223;220;girria;x
794;34;12;83;hahellia;x
795;134;12;83;phoenix_stones;x
796;134;112;83;ladia_gagia;x
797;134;112;183;ladia_prosolinia;x
798;234;112;183;ladia_hanomia;x
799;61;59;16;caria;x
800;161;59;16;arria;x
801;161;159;16;erica;x
802;161;159;116;becelia_march;x
803;161;159;216;castaria;x
804;13;12;75;tuathia;x
805;113;12;75;partalonia;x
806;113;112;75;fomoria;x
807;213;112;75;mania;x
808;213;112;175;erisia;x
809;59;4;39;ubelonia;x
810;159;4;39;berunian_march;x
811;159;104;39;tefphalonia;x
812;159;104;139;caffphai;x
813;159;204;139;duran_march;x
814;63;54;50;tuaia;x
815;163;54;50;pantalonia;x
816;163;154;50;numalonia;x
817;163;154;150;vephryia;x
818;163;154;250;teraphyria;x
819;47;15;136;clodia;x
820;147;15;136;tyria;x
821;147;115;136;tiffalonia;x
822;147;115;236;aeria;x
823;247;115;236;caschone_land;x
824;62;84;154;villia_caparia;x
825;162;84;154;lonten_aronia;x
826;162;184;154;allivia;x
827;162;184;254;sirinia;x
828;240;184;254;meineria;x
829;99;35;123;beruchia;x
830;199;35;123;padia;x
831;199;135;123;bonia;x
832;30;80;69;kratonia;x
833;130;80;69;kratonian_mountains;x
834;130;180;69;metoneia;x
835;130;180;169;kravata;x
836;230;180;169;wlacha;x
837;230;80;169;komtrobia;x
838;230;80;69;ruelntium;x
839;48;66;63;steerneland;x
840;148;66;63;hintium;x
841;148;166;63;harov;x
842;148;166;163;trerice;x
843;148;66;163;tapolna;x
844;80;73;65;petrinad;x
845;180;73;65;konodohar;x
846;180;173;65;nagyaherto;x
847;180;173;165;luykhawa;x
848;88;23;49;Klyeyavichy;x
849;188;23;49;Ivatsewka;x
850;188;123;49;Fryperk;x
851;188;123;149;Trekolov;x
852;188;223;149;Pehalas;x
853;28;47;66;Polasz;x
854;128;47;66;Balcini;x
855;128;147;66;Vahul;x
856;128;147;166;Piekabrzeg;x
857;228;147;166;Bavata;x
858;53;44;44;shearia;x
859;153;44;44;thylethtyria;x
860;153;144;44;alve_thaloria
861;153;144;144;eshen_themaria;x
862;253;144;144;afethlenia;x
863;58;19;88;emserina;x
864;158;19;88;arren_lenora;x
865;158;119;88;caeloria;x
866;158;119;188;alaria;x
867;158;219;188;era_asari;X
868;30;42;25;	zephyria_city;x
869;130;42;25;phoenix_county;x
870;130;142;25;as_avenia;x
871;130;142;125;loveland;x
872;230;142;125;the_great_graves;x
873;21;59;97;ralathia;x
874;121;59;97;thi_cealoria;x
875;121;159;97;eyla_alari;x
876;121;159;197;senalenoria;x
877;221;159;197;irolunia;x
878;34;14;33;ellmsharia;x
879;134;14;33;elli_serinia;x
880;134;114;33;ayala_edhil;x
881;134;114;133;amyethlean;x
882;234;114;133;allenalenoria;x
883;87;38;46;thalas;x
884;187;38;46;asyeana_nalore;x
885;187;138;46;asyena_allanar;x
886;187;138;146;lafneas;x
887;187;238;146;amyanlone;x
888;35;59;16;thelldorei;x
889;135;59;16;mathatalos;x
890;135;159;16;allrenluna;x
891;135;159;116;reathalas;x
892;235;159;116;ayran_taesia;x
893;240;210;116;the_northern_wall;x
894;62;82;39;lylsa_edhil;x
895;162;82;39;iyanlumia;x
896;162;182;39;anyenlenora;x
897;162;182;139;agennia;x
898;162;182;239;laeneenia;x
899;51;62;95;eilaithia;x
900;151;62;95;laenulahia;x
901;151;162;95;daeria;x
902;151;162;195;saenome;x
